timestamp,a_cal,d_cal,c_cal,T_cal,J_final
2026-05-17 10:32:29.229438,0.5318606601008254,0.08001457999999999,0.8000729,1.0164098982238607,0.337386912965199
2026-05-17 10:32:30.229794,0.5318606601008254,0.08001457999999999,0.8000729,1.0164098982238607,0.337386912965199
2026-05-17 10:32:31.229794,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:32.229794,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:33.235735,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:34.238668,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:35.239375,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:36.239535,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:37.239961,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:38.239961,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:39.239961,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:40.239961,0.5311158820612212,0.08000437399999999,0.8000218699999999,1.0154925682850666,0.337386912965199
2026-05-17 10:32:41.267611,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:42.268009,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:43.268009,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:44.268009,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:45.268023,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:46.268023,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:47.268023,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:48.268023,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:49.268569,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:50.268575,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:51.268575,0.5308924486493399,0.0800013122,0.8000065609999999,1.0152173693034283,0.337386912965199
2026-05-17 10:32:52.268575,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:53.268575,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:54.268576,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:55.268576,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:56.274249,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:57.278830,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:58.278830,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:32:59.278830,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
