ref_file,intersection,approach,ff_speed,cum_dist
181,ref_5_NWSE.csv,5,NWSE,22.352,293.71
211,ref_1_SWNE.csv,1,SWNE,24.5872,74.04
221,ref_5_NWSE.csv,5,NWSE,22.352,263.93
311,ref_5_NESW.csv,5,NESW,13.4112,-69.91
372,ref_5_SWNE.csv,5,SWNE,13.4112,129.34
382,ref_5_NESW.csv,5,NESW,13.4112,-69.91
422,ref_5_SWNE.csv,5,SWNE,13.4112,126.69
482,ref_5_NWSE.csv,5,NWSE,22.352,-40.45
502,ref_5_SWNE.csv,5,SWNE,13.4112,-0.67
552,ref_5_SENW.csv,5,SENW,22.352,276.66
712,ref_4_EW.csv,4,EW,24.5872,247.27
722,ref_4_4218_NS.csv,4,NS,22.352,1222.55
892,ref_4_EW.csv,4,EW,24.5872,-31.24
893,ref_4_4218_NS.csv,4,NS,22.352,-3.28
903,ref_4_EW.csv,4,EW,24.5872,-32.68
913,ref_3_SN.csv,3,SN,24.5872,-17.82
923,ref_4_4218_NS.csv,4,NS,22.352,0.09
31,ref_3_SN.csv,3,SN,24.5872,-17.82
62,ref_4_4218_WE.csv,4,WE,24.5872,1511.4
72,ref_3_EW.csv,3,EW,24.5872,637.01
170,ref_3_SN.csv,3,SN,24.5872,-17.82
210,ref_2_WE.csv,2,WE,24.5872,-129.51
250,ref_3_EW.csv,3,EW,24.5872,20.33
260,ref_2_SN.csv,2,SN,24.5872,1728.96
492,ref_2_WE.csv,2,WE,24.5872,-54.37
532,ref_2_SN.csv,2,SN,24.5872,8.55
642,ref_2_NS.csv,2,NS,24.5872,11.97
652,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
682,ref_2_EW.csv,2,EW,24.5872,544.28
61,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
71,ref_2_NS.csv,2,NS,24.5872,0.75
81,ref_2_WE.csv,2,WE,24.5872,-129.51
112,ref_2_SN.csv,2,SN,24.5872,163.49
152,ref_2_EW.csv,2,EW,24.5872,552.8
192,ref_2_SN.csv,2,SN,24.5872,7.86
212,ref_2_EW.csv,2,EW,24.5872,610.65
282,ref_5_SWNE.csv,5,SWNE,13.4112,129.32
382,ref_5_NWSE.csv,5,NWSE,22.352,-65.63
383,ref_5_SWNE.csv,5,SWNE,13.4112,55.81
413,ref_5_SENW.csv,5,SENW,22.352,276.64
543,ref_4_EW.csv,4,EW,24.5872,315.46
563,ref_4_4218_NS.csv,4,NS,22.352,1152.68
733,ref_4_EW.csv,4,EW,24.5872,-31.0
734,ref_4_4218_NS.csv,4,NS,22.352,0.16
793,ref_3_NS.csv,3,NS,24.5872,347.03
803,ref_4_EW.csv,4,EW,24.5872,-31.02
814,ref_3_NS.csv,3,NS,24.5872,337.12
824,ref_4_4218_WE.csv,4,WE,24.5872,-31.99
845,ref_4_EW.csv,4,EW,24.5872,-15.58
855,ref_4_SN.csv,4,SN,13.4112,123.57
11,ref_4_SN.csv,4,SN,13.4112,128.29
110,ref_4_4218_WE.csv,4,WE,24.5872,-62.77
120,ref_3_EW.csv,3,EW,24.5872,756.48
130,ref_4_SN.csv,4,SN,13.4112,-3.94
170,ref_3_EW.csv,3,EW,24.5872,756.48
200,ref_4_SN.csv,4,SN,13.4112,0.58
223,ref_4_EW.csv,4,EW,24.5872,531.14
333,ref_4_4218_WE.csv,4,WE,24.5872,-62.44
334,ref_4_EW.csv,4,EW,24.5872,1.17
399,ref_4_4218_NS.csv,4,NS,22.352,0.09
569,ref_3_SN.csv,3,SN,24.5872,-17.82
600,ref_3_EW.csv,3,EW,24.5872,732.39
696,ref_3_NS.csv,3,NS,24.5872,-14.74
746,ref_3_WE.csv,3,WE,24.5872,373.84
866,ref_3_EW.csv,3,EW,24.5872,-37.17
947,ref_3_WE.csv,3,WE,24.5872,346.72
1041,ref_3_SN.csv,3,SN,24.5872,-16.26
1051,ref_4_4218_WE.csv,4,WE,24.5872,1511.56
1061,ref_2_SN.csv,2,SN,24.5872,1754.16
1091,ref_4_4218_WE.csv,4,WE,24.5872,1511.56
1391,ref_3_SN.csv,3,SN,24.5872,-17.82
1392,ref_4_4218_WE.csv,4,WE,24.5872,1.6
1495,ref_4_SN.csv,4,SN,13.4112,-17.23
1505,ref_3_EW.csv,3,EW,24.5872,756.48
1515,ref_4_SN.csv,4,SN,13.4112,-2.27
1526,ref_3_EW.csv,3,EW,24.5872,756.48
1556,ref_4_4218_NS.csv,4,NS,22.352,-20.99
1557,ref_4_SN.csv,4,SN,13.4112,-10.34
1567,ref_4_EW.csv,4,EW,24.5872,531.01
1587,ref_4_SN.csv,4,SN,13.4112,-10.34
1608,ref_4_EW.csv,4,EW,24.5872,543.49
1618,ref_4_SN.csv,4,SN,13.4112,-23.26
1628,ref_4_EW.csv,4,EW,24.5872,560.04
1778,ref_3_EW.csv,3,EW,24.5872,756.48
1788,ref_4_4218_NS.csv,4,NS,22.352,44.02
1798,ref_4_EW.csv,4,EW,24.5872,629.29
31,ref_4_4218_WE.csv,4,WE,24.5872,-62.27
42,ref_4_EW.csv,4,EW,24.5872,535.15
452,ref_3_EW.csv,3,EW,24.5872,-37.16
462,ref_3_WE.csv,3,WE,24.5872,-3.12
482,ref_3_EW.csv,3,EW,24.5872,-37.16
523,ref_2_SN.csv,2,SN,24.5872,1754.16
543,ref_3_WE.csv,3,WE,24.5872,6.3
663,ref_3_SN.csv,3,SN,24.5872,726.42
743,ref_3_NS.csv,3,NS,24.5872,-37.61
794,ref_3_SN.csv,3,SN,24.5872,726.39
976,ref_2_WE.csv,2,WE,24.5872,-129.51
986,ref_3_EW.csv,3,EW,24.5872,-0.02
996,ref_2_WE.csv,2,WE,24.5872,-129.51
1006,ref_3_EW.csv,3,EW,24.5872,24.76
1016,ref_2_SN.csv,2,SN,24.5872,1751.77
1247,ref_2_WE.csv,2,WE,24.5872,-38.84
1257,ref_2_SN.csv,2,SN,24.5872,-34.61
1267,ref_2_EW.csv,2,EW,24.5872,0.47
1287,ref_2_WE.csv,2,WE,24.5872,-38.84
1328,ref_1_SWNE.csv,1,SWNE,24.5872,1255.9
1447,ref_5_NWSE.csv,5,NWSE,22.352,296.23
1570,ref_5_SWNE.csv,5,SWNE,13.4112,-4.66
1580,ref_2_NS.csv,2,NS,24.5872,584.19
1590,ref_2_EW.csv,2,EW,24.5872,610.64
1610,ref_5_SENW.csv,5,SENW,22.352,276.65
1650,ref_5_NWSE.csv,5,NWSE,22.352,-65.63
1711,ref_5_SENW.csv,5,SENW,22.352,269.09
1766,ref_5_SWNE.csv,5,SWNE,13.4112,-35.27
251,ref_5_NWSE.csv,5,NWSE,22.352,323.48
261,ref_1_SWNE.csv,1,SWNE,24.5872,42.1
571,ref_5_NWSE.csv,5,NWSE,22.352,326.19
581,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
601,ref_5_NWSE.csv,5,NWSE,22.352,296.42
611,ref_1_SENW.csv,1,SENW,17.8816,60.91
621,ref_5_NWSE.csv,5,NWSE,22.352,293.71
691,ref_5_NESW.csv,5,NESW,13.4112,-69.91
752,ref_5_SWNE.csv,5,SWNE,13.4112,83.02
874,ref_5_NWSE.csv,5,NWSE,22.352,-41.76
894,ref_5_SWNE.csv,5,SWNE,13.4112,-0.66
914,ref_5_SENW.csv,5,SENW,22.352,268.54
1044,ref_4_4218_NS.csv,4,NS,22.352,1192.33
1324,ref_4_SN.csv,4,SN,13.4112,-23.64
1325,ref_4_4218_NS.csv,4,NS,22.352,-3.52
1335,ref_4_EW.csv,4,EW,24.5872,-31.03
1345,ref_4_4218_WE.csv,4,WE,24.5872,-31.97
1385,ref_4_SN.csv,4,SN,13.4112,131.55
111,ref_4_4218_WE.csv,4,WE,24.5872,-62.27
152,ref_4_EW.csv,4,EW,24.5872,890.41
372,ref_4_4218_WE.csv,4,WE,24.5872,-32.02
402,ref_4_SN.csv,4,SN,13.4112,134.7
91,ref_4_EW.csv,4,EW,24.5872,8.21
101,ref_4_SN.csv,4,SN,13.4112,137.51
191,ref_4_4218_WE.csv,4,WE,24.5872,-55.32
192,ref_4_4218_NS.csv,4,NS,22.352,-21.71
202,ref_4_SN.csv,4,SN,13.4112,4.91
379,ref_4_EW.csv,4,EW,24.5872,-15.57
439,ref_3_EW.csv,3,EW,24.5872,756.33
449,ref_4_4218_WE.csv,4,WE,24.5872,-62.26
490,ref_4_4218_NS.csv,4,NS,22.352,1364.47
510,ref_4_EW.csv,4,EW,24.5872,166.65
520,ref_4_4218_NS.csv,4,NS,22.352,1202.49
707,ref_3_SN.csv,3,SN,24.5872,-17.82
708,ref_4_4218_NS.csv,4,NS,22.352,0.13
868,ref_3_SN.csv,3,SN,24.5872,-17.82
879,ref_4_4218_WE.csv,4,WE,24.5872,1279.87
889,ref_3_SN.csv,3,SN,24.5872,-17.82
910,ref_3_EW.csv,3,EW,24.5872,749.01
1056,ref_3_SN.csv,3,SN,24.5872,-17.82
1076,ref_2_WE.csv,2,WE,24.5872,-129.51
1086,ref_3_EW.csv,3,EW,24.5872,-0.02
1096,ref_2_WE.csv,2,WE,24.5872,-129.51
1136,ref_3_EW.csv,3,EW,24.5872,30.31
1148,ref_2_SN.csv,2,SN,24.5872,1754.18
1564,ref_2_WE.csv,2,WE,24.5872,-39.95
1574,ref_2_SN.csv,2,SN,24.5872,-33.38
1584,ref_2_EW.csv,2,EW,24.5872,0.52
1614,ref_2_WE.csv,2,WE,24.5872,-38.84
1675,ref_2_NS.csv,2,NS,24.5872,584.19
1685,ref_1_SWNE.csv,1,SWNE,24.5872,1257.22
1815,ref_5_NWSE.csv,5,NWSE,22.352,328.77
2061,ref_5_SWNE.csv,5,SWNE,13.4112,-0.67
2071,ref_5_SENW.csv,5,SENW,22.352,276.66
2181,ref_4_EW.csv,4,EW,24.5872,187.5
2191,ref_4_4218_NS.csv,4,NS,22.352,1209.9
2334,ref_3_SN.csv,3,SN,24.5872,-17.82
2344,ref_4_4218_NS.csv,4,NS,22.352,0.09
2454,ref_3_SN.csv,3,SN,24.5872,-17.82
2475,ref_3_EW.csv,3,EW,24.5872,713.65
2673,ref_3_SN.csv,3,SN,24.5872,-17.82
2723,ref_3_EW.csv,3,EW,24.5872,-0.02
2743,ref_3_NS.csv,3,NS,24.5872,212.28
2753,ref_3_EW.csv,3,EW,24.5872,-0.02
2763,ref_3_NS.csv,3,NS,24.5872,210.55
111,ref_3_EW.csv,3,EW,24.5872,-0.02
131,ref_2_WE.csv,2,WE,24.5872,-129.51
192,ref_3_EW.csv,3,EW,24.5872,27.17
202,ref_3_NS.csv,3,NS,24.5872,521.66
212,ref_3_EW.csv,3,EW,24.5872,-4.43
213,ref_2_SN.csv,2,SN,24.5872,1751.43
424,ref_2_EW.csv,2,EW,24.5872,0.47
444,ref_2_WE.csv,2,WE,24.5872,-38.84
485,ref_1_SWNE.csv,1,SWNE,24.5872,1104.29
694,ref_5_NWSE.csv,5,NWSE,22.352,337.04
772,ref_5_NESW.csv,5,NESW,13.4112,-33.99
802,ref_1_SENW.csv,1,SENW,17.8816,401.79
842,ref_5_SENW.csv,5,SENW,22.352,-117.16
873,ref_5_SWNE.csv,5,SWNE,13.4112,129.32
883,ref_1_SENW.csv,1,SENW,17.8816,177.55
913,ref_1_SWNE.csv,1,SWNE,24.5872,66.47
933,ref_5_NWSE.csv,5,NWSE,22.352,291.0
943,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
953,ref_1_SENW.csv,1,SENW,17.8816,46.02
963,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
973,ref_5_NWSE.csv,5,NWSE,22.352,328.9
983,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
993,ref_5_NWSE.csv,5,NWSE,22.352,323.48
1023,ref_1_SWNE.csv,1,SWNE,24.5872,38.12
1043,ref_5_NWSE.csv,5,NWSE,22.352,323.48
1053,ref_1_SWNE.csv,1,SWNE,24.5872,39.43
1063,ref_1_SENW.csv,1,SENW,17.8816,33.2
1103,ref_1_SWNE.csv,1,SWNE,24.5872,42.1
1561,ref_1_SENW.csv,1,SENW,17.8816,33.2
1571,ref_1_SWNE.csv,1,SWNE,24.5872,42.1
211,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
221,ref_1_SENW.csv,1,SENW,17.8816,31.64
241,ref_5_NWSE.csv,5,NWSE,22.352,328.9
251,ref_1_SENW.csv,1,SENW,17.8816,27.14
261,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
661,ref_5_NWSE.csv,5,NWSE,22.352,320.78
681,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
691,ref_5_NWSE.csv,5,NWSE,22.352,312.66
721,ref_1_SWNE.csv,1,SWNE,24.5872,36.84
751,ref_5_NWSE.csv,5,NWSE,22.352,315.36
1501,ref_1_SWNE.csv,1,SWNE,24.5872,35.6
1561,ref_5_NWSE.csv,5,NWSE,22.352,323.48
1571,ref_1_SWNE.csv,1,SWNE,24.5872,31.87
1581,ref_5_NWSE.csv,5,NWSE,22.352,320.78
1591,ref_1_SWNE.csv,1,SWNE,24.5872,33.11
1601,ref_5_NWSE.csv,5,NWSE,22.352,318.07
1611,ref_1_SWNE.csv,1,SWNE,24.5872,33.11
1631,ref_1_SENW.csv,1,SENW,17.8816,33.2
1641,ref_5_NWSE.csv,5,NWSE,22.352,320.78
1651,ref_1_SWNE.csv,1,SWNE,24.5872,34.36
51,ref_5_NWSE.csv,5,NWSE,22.352,320.78
81,ref_1_SWNE.csv,1,SWNE,24.5872,33.11
101,ref_5_NWSE.csv,5,NWSE,22.352,320.78
111,ref_1_SWNE.csv,1,SWNE,24.5872,29.55
41,ref_5_NWSE.csv,5,NWSE,22.352,320.78
51,ref_1_SWNE.csv,1,SWNE,24.5872,29.55
61,ref_5_NWSE.csv,5,NWSE,22.352,320.78
71,ref_1_SWNE.csv,1,SWNE,24.5872,29.55
81,ref_5_NWSE.csv,5,NWSE,22.352,320.78
91,ref_1_SWNE.csv,1,SWNE,24.5872,29.55
171,ref_5_NESW.csv,5,NESW,13.4112,-69.91
182,ref_5_NWSE.csv,5,NWSE,22.352,55.49
192,ref_5_NESW.csv,5,NESW,13.4112,-69.91
243,ref_5_SWNE.csv,5,SWNE,13.4112,104.81
342,ref_5_NWSE.csv,5,NWSE,22.352,-37.79
362,ref_5_SWNE.csv,5,SWNE,13.4112,-0.66
402,ref_5_SENW.csv,5,SENW,22.352,276.66
602,ref_4_EW.csv,4,EW,24.5872,358.77
662,ref_4_4218_NS.csv,4,NS,22.352,1197.52
934,ref_3_SN.csv,3,SN,24.5872,-17.82
944,ref_4_4218_NS.csv,4,NS,22.352,0.09
1094,ref_3_SN.csv,3,SN,24.5872,-17.82
1125,ref_3_EW.csv,3,EW,24.5872,738.01
1212,ref_3_SN.csv,3,SN,24.5872,-17.82
1222,ref_2_WE.csv,2,WE,24.5872,-129.51
1262,ref_3_EW.csv,3,EW,24.5872,21.52
1272,ref_2_SN.csv,2,SN,24.5872,1715.63
1479,ref_2_EW.csv,2,EW,24.5872,0.47
1489,ref_2_WE.csv,2,WE,24.5872,-38.84
1519,ref_2_NS.csv,2,NS,24.5872,584.2
1529,ref_1_SWNE.csv,1,SWNE,24.5872,1061.74
1684,ref_5_NWSE.csv,5,NWSE,22.352,334.16
1748,ref_5_NESW.csv,5,NESW,13.4112,-70.01
1758,ref_1_SENW.csv,1,SENW,17.8816,401.79
1768,ref_5_SWNE.csv,5,SWNE,13.4112,99.38
1778,ref_1_SENW.csv,1,SENW,17.8816,401.79
1788,ref_5_SWNE.csv,5,SWNE,13.4112,99.37
1808,ref_5_NWSE.csv,5,NWSE,22.352,55.49
81,ref_1_SENW.csv,1,SENW,17.8816,406.0
101,ref_5_SWNE.csv,5,SWNE,13.4112,115.71
221,ref_5_NWSE.csv,5,NWSE,22.352,-39.12
242,ref_5_SWNE.csv,5,SWNE,13.4112,-0.66
322,ref_5_SENW.csv,5,SENW,22.352,276.67
472,ref_4_4218_NS.csv,4,NS,22.352,1362.24
482,ref_5_SENW.csv,5,SENW,22.352,276.64
562,ref_4_EW.csv,4,EW,24.5872,239.63
572,ref_4_4218_NS.csv,4,NS,22.352,1064.87
736,ref_3_SN.csv,3,SN,24.5872,-17.82
746,ref_4_4218_NS.csv,4,NS,22.352,0.09
906,ref_3_SN.csv,3,SN,24.5872,-17.82
947,ref_4_4218_WE.csv,4,WE,24.5872,1442.05
967,ref_3_EW.csv,3,EW,24.5872,726.78
1139,ref_3_SN.csv,3,SN,24.5872,-17.82
1149,ref_2_WE.csv,2,WE,24.5872,-129.51
1179,ref_2_SN.csv,2,SN,24.5872,1717.57
1338,ref_2_WE.csv,2,WE,24.5872,-39.94
1348,ref_2_SN.csv,2,SN,24.5872,-22.36
1378,ref_2_EW.csv,2,EW,24.5872,0.47
1398,ref_2_WE.csv,2,WE,24.5872,-51.8
1429,ref_1_SWNE.csv,1,SWNE,24.5872,1291.83
1668,ref_5_NWSE.csv,5,NWSE,22.352,342.33
1819,ref_5_SWNE.csv,5,SWNE,13.4112,-0.66
1869,ref_5_SENW.csv,5,SENW,22.352,276.67
2059,ref_4_EW.csv,4,EW,24.5872,305.55
2089,ref_4_4218_NS.csv,4,NS,22.352,1151.26
2409,ref_3_SN.csv,3,SN,24.5872,-17.82
2430,ref_4_4218_WE.csv,4,WE,24.5872,1511.43
2440,ref_3_EW.csv,3,EW,24.5872,693.07
2606,ref_3_SN.csv,3,SN,24.5872,-17.82
2616,ref_3_EW.csv,3,EW,24.5872,-0.02
2626,ref_2_WE.csv,2,WE,24.5872,-129.51
2647,ref_3_NS.csv,3,NS,24.5872,443.69
2657,ref_3_EW.csv,3,EW,24.5872,22.43
2669,ref_2_SN.csv,2,SN,24.5872,1754.33
411,ref_1_SENW.csv,1,SENW,17.8816,52.5
441,ref_5_NWSE.csv,5,NWSE,22.352,304.54
631,ref_1_SENW.csv,1,SENW,17.8816,60.91
